Description,Level 1 Description,Asset Class 2 Description,Asset Class 3 Description,MaintPlant,Equipment,Description.1,New Funct. Location,New Super Funct. Loc,ManufSerialNo.,Manufacturer,Model number,ManufPartNo.,Sort Field,Main WorkCtr,Work center,Planner Group,HSECES Category,ABC Indic.,Plant Section,Object Type,EquipCategory,Superord.Equip.,Catalog Profile,TechIdentNo.,Size/dimens.,ManufCountry
ITR-9 ADDRESSABLE SMOKE DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000007,Fire and gas detection,1-01-85-XSD-ITR09-01,60-85-FF58-ITR9-FACP,,APOLLO,58000-600-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011008143.0,PM_FDET,1-01-85-XSD-ITR09-01,D100XH50 MM,
CGF EDG AREA TRIPLE IR FLAME DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000010,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,DS02,A,FGS,FG,M,11011008223.0,PM_FDET,1-01-00-XFD-5400-01,,
WELL HB11 AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000014,Fire and gas detection,1-01-84-XGAB-H11P-01,60-71-HB-011P-WFG,214287525 41 30,MEDC,XB15B0241506AWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011001989.0,PM_EVEQ,1-01-84-XGAB-H11P-01,L150XW170XH239 MM,GB
F&G GAS DETECTOR ETR-5,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000015,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004051.0,PM_FDET,FG-ETR-5-GD,,
ETR-9 FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000025,Fire and gas detection,1-01-42-XFAS-ETR09-02,60-82-FF58-ETR9-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007945.0,PM_FDET,1-01-42-XFAS-ETR09-02,,GB
FRM DRYER PKG(U-6102-01) TO DRN TO AOC,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011000031,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011007889.0,PM_PIPE,D-CS-PC-045,,
HIPPS SYSTEM SDV 3-WAY SOV,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000046,Oil Export HIPPS-SDV,1-01-37-SSOV-1301-11A,1-01-37-SDV-1301-11,,MAXSEAL,IC035-Y013AA1H1BS,HDMI/75000-47197-NG,,C-INS-01,,100,SD01,A,PIG,VA,M,11011008827.0,PM_MIC,1-01-37-SSOV-1301-11A,,
ETR-4 BATTERY ROOM FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000049,Fire and gas detection,1-01-42-XFAB-ETR04-04,60-83-FF58-ETR4-FACP,,MEDC,XB15B0241506RWDTDRZZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008099.0,PM_EVEQ,1-01-42-XFAB-ETR04-04,,GB
TELECOM CABINET-1 AT ETR-9,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000061,Main Power,1-01-42-DB-4482-04,A-AP-6082-PF42-ETR09,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,C,ELE,TE,M,11011008881.0,PM_TCOM,1-01-99-TLC-8282-05,D800XW800XH2000 MM,DE
ITR-14 FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000062,Fire and gas detection,1-01-87-XFAB-ITR14-01,60-87-FF58-ITR14-FACP,,MEDC,XB15UW0241506RWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011004063.0,PM_EVEQ,1-01-87-XFAB-ITR14-01,,GB
F&G GAS DETECTOR ITR-12,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000063,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004062.0,PM_FDET,FG-ITR-12-GD,,
CGF AREA GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000065,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004189.0,PM_FDET,1-01-00-5400-01-GD,,
CGF SUB-STATION SWGR RM RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000086,Fire and gas detection,1-01-00-XFAB-5801-04,60-00-FF58-33KV-FACP,,MEDC,XB15UW0241506AWDTDPR,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011004192.0,PM_EVEQ,1-01-00-XFAB-5801-04,L150XW150XH239 MM,GB
ETR-1 MV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000102,Fire and gas detection,1-01-42-XGAB-ETR01-01,60-81-FF58-ETR1-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008090.0,PM_EVEQ,1-01-42-XGAB-ETR01-01,,GB
ITR-9 FLAMMABLE GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000122,Fire and gas detection,1-01-85-XGD-ITR09-01,60-85-FF58-ITR9-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS01,A,FGS,FG,M,11011008143.0,PM_GDET,1-01-85-XGD-ITR09-01,D96XW155XH280 MM,
F&G SMOKE DETECTOR ETR-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000126,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004045.0,PM_FDET,FG-ETR-1-SD,,
FRM TP-08A/B/CTO SP-0301 PIG TO RP-1301,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011000127,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008155.0,PM_PIPE,PA-CS-PC-103,,
CGF SUB-STATION SWGR RM SMOKE DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000177,Fire and gas detection,1-01-00-XSD-5801-14,60-00-FF58-33KV-FACP,,APOLLO,58000-600-SIL,HMDI/75000-54001/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011008224.0,PM_FDET,1-01-00-XSD-5801-14,D100XH42 MM,
CGF CTRL BLDG SERVER RM SMOKE DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000178,Fire and gas detection,1-01-00-XSD-5802-62,60-00-FF58-LCR-FACP,,APOLLO,58000-600-SIL,HMDI/75000-54001/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011002097.0,PM_FDET,1-01-00-XSD-5802-62,D100XH42 MM,
PIG RECEIVER INLET LINE MOV HAND SWITCH,TS&T - Terminals,Terminal Equipment,System in General for Terminal Equipment,2402,11011000179,Oil Export,1-01-37-MVHS-1301-02,1-01-37-MOV-1301-02,,,,,,C-ELE-01,,100,NHSECES,C,ELE,EL,M,11011005740.0,PM_MEL,1-01-37-MVHS-1301-02,,
MPFM IR POINT GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000181,Fire and gas detection,1-01-37-XGD-5402-51,A-AP-6037-FF54-FGS,A19-U401356920-11-38,MSA,A-ULTIMAX-XP-E-58-A-,HMDI/75000-47197/NG,,C-INS-01,,100,DS01,A,FGS,FG,M,11011002933.0,PM_GDET,1-01-37-XGD-5402-51,L325XM99XH145 MM,US
ETR-6 FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000198,Fire and gas detection,1-01-42-XFAS-ETR06-02,60-85-FF58-ETR6-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011001984.0,PM_FDET,1-01-42-XFAS-ETR06-02,,GB
ETR-4 LV CONTAINER HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000200,Fire and gas detection,1-01-42-XHD-ETR04-01,60-83-FF58-ETR4-FACP,,APOLLO,58000-400-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011000506.0,PM_FDET,1-01-42-XHD-ETR04-01,D100XH50 MM,
TRANSFORMER AREA HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000212,Fire and gas detection,1-01-81-XHD-WG01-01,60-81-FF55-ITR01-ESD/FGS,,,,,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011001002.0,PM_FDET,1-01-81-XHD-WG01-01,,
WELL HB37 SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000219,Fire and gas detection,1-01-82-XFAS-H37H-01,60-71-HB-037H-WFG,214287525-63-18,MEDC,DB3B-D-GD-048-T-2B-E,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000507.0,PM_FDET,1-01-82-XFAS-H37H-01,L185XW280XH200 MM,GB
ITR-2 GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000225,Fire and gas detection,1-01-82-XGAB-ITR02-02,60-82-FF58-ITR02-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011004064.0,PM_EVEQ,1-01-82-XGAB-ITR02-02,,GB
ITR-3 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000226,Fire and gas detection,1-01-82-XTGD-ITR03-01,60-82-FF58-ITR03-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011002033.0,PM_GDET,1-01-82-XTGD-ITR03-01,D96XW155XH280 MM,
ITR-4 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000227,Fire and gas detection,1-01-83-XTGD-ITR04-01,60-83-FF58-ITR4-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011009579.0,PM_GDET,1-01-83-XTGD-ITR04-01,D96XW155XH280 MM,
ITR-9 FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000244,Fire and gas detection,1-01-85-XFAS-ITR09-02,60-85-FF58-ITR9-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011002036.0,PM_EVEQ,1-01-85-XFAS-ITR09-02,,GB
